category,left_keV,right_keV,count,n_events,density_per_keV
Bi214,2150.0,2200.0,4712,262144,0.0003594970703125
Bi214,2200.0,2250.0,4391,262144,0.0003350067138671875
Bi214,2250.0,2300.0,3899,262144,0.0002974700927734375
Bi214,2300.0,2350.0,3401,262144,0.0002594757080078125
Bi214,2350.0,2400.0,2996,262144,0.00022857666015625
Bi214,2400.0,2450.0,2662,262144,0.000203094482421875
Bi214,2450.0,2500.0,2181,262144,0.0001663970947265625
Bi214,2500.0,2550.0,1862,262144,0.000142059326171875
Bi214,2550.0,2600.0,1475,262144,0.0001125335693359375
Bi214,2600.0,2650.0,1181,262144,9.01031494140625e-05
Bi214,2650.0,2700.0,928,262144,7.080078125e-05
Bi214,2700.0,2750.0,698,262144,5.3253173828125e-05
Bi214,2750.0,2800.0,429,262144,3.27301025390625e-05
Bi214,2800.0,2850.0,306,262144,2.3345947265625e-05
Bi214,2850.0,2900.0,184,262144,1.40380859375e-05
Bi214,2900.0,2950.0,103,262144,7.8582763671875e-06
Bi214,2950.0,3000.0,57,262144,4.3487548828125e-06
Bi214,3000.0,3050.0,29,262144,2.2125244140625e-06
Bi214,3050.0,3100.0,10,262144,7.62939453125e-07
Bi214,3100.0,3150.0,1,262144,7.62939453125e-08
Bi214,3150.0,3200.0,0,262144,0.0
Bi214,3200.0,3250.0,0,262144,0.0
Bi214,3250.0,3300.0,0,262144,0.0
