distribution,category,left_keV,right_keV,base_or_matched_mass,normalizing_class_mass,density_per_keV
original,Bi214,1200.0,1250.0,7063.0,262144.0,0.0005388641357421875
original,Bi214,1250.0,1300.0,7157.0,262144.0,0.0005460357666015624
original,Bi214,1300.0,1350.0,7490.0,262144.0,0.000571441650390625
original,Bi214,1350.0,1400.0,7912.0,262144.0,0.0006036376953125
original,Bi214,1400.0,1450.0,8191.0,262144.0,0.0006249237060546875
original,Bi214,1450.0,1500.0,8255.0,262144.0,0.0006298065185546875
original,Bi214,1500.0,1550.0,8213.0,262144.0,0.0006266021728515625
original,Bi214,1550.0,1600.0,8168.0,262144.0,0.0006231689453125
original,Bi214,1600.0,1650.0,7880.0,262144.0,0.0006011962890625
original,Bi214,1650.0,1700.0,8115.0,262144.0,0.0006191253662109375
original,Bi214,1700.0,1750.0,7878.0,262144.0,0.000601043701171875
original,Bi214,1750.0,1800.0,7610.0,262144.0,0.000580596923828125
original,Bi214,1800.0,1850.0,7406.0,262144.0,0.000565032958984375
original,Bi214,1850.0,1900.0,7263.0,262144.0,0.0005541229248046875
original,Bi214,1900.0,1950.0,6637.0,262144.0,0.0005063629150390625
original,Bi214,1950.0,2000.0,6383.0,262144.0,0.0004869842529296875
original,Bi214,2000.0,2050.0,6104.0,262144.0,0.0004656982421875
original,Bi214,2050.0,2100.0,5488.0,262144.0,0.000418701171875
original,Bi214,2100.0,2150.0,5150.0,262144.0,0.000392913818359375
original,Bi214,2150.0,2200.0,4712.0,262144.0,0.0003594970703125
original,Bi214,2200.0,2250.0,4391.0,262144.0,0.0003350067138671875
original,Bi214,2250.0,2300.0,3899.0,262144.0,0.0002974700927734375
original,Bi214,2300.0,2350.0,3401.0,262144.0,0.0002594757080078125
original,Bi214,2350.0,2400.0,2996.0,262144.0,0.00022857666015625
original,Bi214,2400.0,2450.0,2662.0,262144.0,0.000203094482421875
original,Bi214,2450.0,2500.0,2181.0,262144.0,0.0001663970947265625
original,Bi214,2500.0,2550.0,1862.0,262144.0,0.000142059326171875
original,Bi214,2550.0,2600.0,1475.0,262144.0,0.0001125335693359375
original,Bi214,2600.0,2650.0,1181.0,262144.0,9.01031494140625e-05
original,Bi214,2650.0,2700.0,928.0,262144.0,7.080078125e-05
original,Bi214,2700.0,2750.0,698.0,262144.0,5.3253173828125e-05
original,Bi214,2750.0,2800.0,429.0,262144.0,3.27301025390625e-05
original,Bi214,2800.0,2850.0,306.0,262144.0,2.3345947265625e-05
original,Bi214,2850.0,2900.0,184.0,262144.0,1.40380859375e-05
original,Bi214,2900.0,2950.0,103.0,262144.0,7.8582763671875e-06
original,Bi214,2950.0,3000.0,57.0,262144.0,4.3487548828125e-06
original,Bi214,3000.0,3050.0,29.0,262144.0,2.2125244140625e-06
original,Bi214,3050.0,3100.0,10.0,262144.0,7.62939453125e-07
original,Bi214,3100.0,3150.0,1.0,262144.0,7.62939453125e-08
original,Bi214,3150.0,3200.0,0.0,262144.0,0.0
original,Bi214,3200.0,3250.0,0.0,262144.0,0.0
original,Bi214,3250.0,3300.0,0.0,262144.0,0.0
retained,0nubb,0.0,50.0,0.0,99139.0,0.0
retained,0nubb,50.0,100.0,0.0,99139.0,0.0
retained,0nubb,100.0,150.0,0.0,99139.0,0.0
retained,0nubb,150.0,200.0,0.0,99139.0,0.0
retained,0nubb,200.0,250.0,0.0,99139.0,0.0
retained,0nubb,250.0,300.0,0.0,99139.0,0.0
retained,0nubb,300.0,350.0,0.0,99139.0,0.0
retained,0nubb,350.0,400.0,0.0,99139.0,0.0
