distribution,fpr,tpr,threshold_keV
original,7.62939453125e-05,0.0014699300130208333,3027.25
original,7.62939453125e-05,0.0014750162760416667,3027.1875
original,7.62939453125e-05,0.0014851888020833333,3027.125
original,7.62939453125e-05,0.0015004475911458333,3027.0
original,7.62939453125e-05,0.0015055338541666667,3026.75
original,7.62939453125e-05,0.0015157063802083333,3026.625
original,8.392333984375e-05,0.0015207926432291667,3026.5
original,8.7738037109375e-05,0.00152587890625,3026.375
original,9.1552734375e-05,0.0015360514322916667,3026.25
original,9.1552734375e-05,0.0015411376953125,3026.125
original,9.1552734375e-05,0.0015462239583333333,3026.0
original,9.1552734375e-05,0.0015513102213541667,3025.75
original,9.1552734375e-05,0.0015665690104166667,3025.5
original,9.1552734375e-05,0.0015716552734375,3025.375
original,9.1552734375e-05,0.0015767415364583333,3025.25
original,9.1552734375e-05,0.0015818277994791667,3025.125
original,9.1552734375e-05,0.0015970865885416667,3025.0
original,9.1552734375e-05,0.001617431640625,3024.75
original,9.1552734375e-05,0.0016225179036458333,3024.625
original,9.1552734375e-05,0.0016276041666666667,3024.5
original,9.1552734375e-05,0.0016377766927083333,3024.375
original,9.1552734375e-05,0.0016581217447916667,3024.25
original,9.1552734375e-05,0.0016632080078125,3024.125
original,9.1552734375e-05,0.001678466796875,3024.0
original,9.1552734375e-05,0.0016835530598958333,3023.875
original,9.1552734375e-05,0.0016886393229166667,3023.75
original,9.1552734375e-05,0.0016937255859375,3023.625
original,9.1552734375e-05,0.0017038981119791667,3023.5
original,9.1552734375e-05,0.001708984375,3023.3125
original,9.1552734375e-05,0.0017191569010416667,3023.25
original,9.1552734375e-05,0.0017293294270833333,3023.125
original,9.1552734375e-05,0.0017344156901041667,3023.0625
original,9.1552734375e-05,0.0017496744791666667,3023.0
original,9.1552734375e-05,0.0017547607421875,3022.875
original,9.1552734375e-05,0.0017649332682291667,3022.75
original,9.1552734375e-05,0.00177001953125,3022.5
original,9.1552734375e-05,0.0017751057942708333,3022.375
original,9.1552734375e-05,0.0017801920572916667,3022.3125
original,9.1552734375e-05,0.0017852783203125,3022.25
original,9.1552734375e-05,0.0017903645833333333,3022.125
original,9.1552734375e-05,0.001800537109375,3022.0
original,9.1552734375e-05,0.0018107096354166667,3021.875
original,9.1552734375e-05,0.0018157958984375,3021.75
original,9.1552734375e-05,0.0018208821614583333,3021.5
original,9.1552734375e-05,0.0018259684244791667,3021.375
original,9.1552734375e-05,0.0018310546875,3021.25
original,9.1552734375e-05,0.0018361409505208333,3021.125
original,9.5367431640625e-05,0.0018463134765625,3021.0
original,9.5367431640625e-05,0.0018564860026041667,3020.75
original,9.5367431640625e-05,0.0018666585286458333,3020.5
original,9.5367431640625e-05,0.0018717447916666667,3020.375
original,9.5367431640625e-05,0.0018768310546875,3020.25
original,9.5367431640625e-05,0.0018819173177083333,3020.125
original,9.5367431640625e-05,0.00189208984375,3019.9375
original,9.5367431640625e-05,0.0018971761067708333,3019.875
original,9.5367431640625e-05,0.0019022623697916667,3019.8125
original,9.5367431640625e-05,0.001922607421875,3019.75
original,9.5367431640625e-05,0.0019276936848958333,3019.625
original,9.5367431640625e-05,0.0019378662109375,3019.5
original,9.5367431640625e-05,0.0019582112630208335,3019.25
original,9.5367431640625e-05,0.0019632975260416665,3019.125
original,9.5367431640625e-05,0.0019734700520833335,3019.0
original,9.5367431640625e-05,0.001983642578125,3018.875
original,9.5367431640625e-05,0.0019887288411458335,3018.8125
original,9.5367431640625e-05,0.0019938151041666665,3018.75
original,9.5367431640625e-05,0.0019989013671875,3018.5
original,9.5367431640625e-05,0.0020090738932291665,3018.375
original,9.5367431640625e-05,0.0020345052083333335,3018.25
original,9.5367431640625e-05,0.002044677734375,3018.125
original,9.918212890625e-05,0.0020599365234375,3018.0
original,9.918212890625e-05,0.0020650227864583335,3017.875
original,9.918212890625e-05,0.0020751953125,3017.75
original,9.918212890625e-05,0.0020802815755208335,3017.625
original,9.918212890625e-05,0.0020853678385416665,3017.5
original,9.918212890625e-05,0.0020955403645833335,3017.375
original,9.918212890625e-05,0.0021107991536458335,3017.25
original,9.918212890625e-05,0.0021158854166666665,3017.125
original,9.918212890625e-05,0.0021311442057291665,3017.0
original,0.000102996826171875,0.0021311442057291665,3016.8125
original,0.0001068115234375,0.0021616617838541665,3016.75
original,0.0001068115234375,0.0021769205729166665,3016.5
original,0.0001068115234375,0.0021870930989583335,3016.375
original,0.000110626220703125,0.0022023518880208335,3016.25
original,0.000110626220703125,0.0022074381510416665,3016.125
original,0.000110626220703125,0.0022176106770833335,3016.0
original,0.000110626220703125,0.0022226969401041665,3015.875
original,0.000110626220703125,0.0022328694661458335,3015.75
original,0.000110626220703125,0.0022430419921875,3015.625
original,0.000110626220703125,0.0022532145182291665,3015.5
original,0.000110626220703125,0.00225830078125,3015.4375
original,0.000110626220703125,0.0022633870442708335,3015.375
original,0.000110626220703125,0.0022684733072916665,3015.3125
original,0.000110626220703125,0.0022786458333333335,3015.25
original,0.000110626220703125,0.002288818359375,3015.125
