run_id,tokenization,position_encoding,num_tokens,feature_dim,parameter_count,rope_base,rope_time_axis_only,n_train,n_val,n_test,epochs_completed,best_epoch,best_val_rmse_scaled,test_rmse_ms,test_mae_ms,test_bias_ms,test_r2,test_median_abs_error_ms,test_rmse_ms_pileup_only,test_mae_ms_pileup_only,test_bias_ms_pileup_only,test_r2_pileup,test_rmse_ms_clean,test_mae_ms_clean,test_bias_ms_clean,test_frac_within_100ms,test_frac_within_250ms,training_seconds,minutes_per_epoch,evaluation_seconds,d_model,dim_feedforward,dropout,dt_scale,gpu_name,hostname,nhead,num_frequencies,num_layers,patch_size,seed,slurm_array_task_id,slurm_job_id,split_seed,stopped_early,task,test_ers_DEGENERATE,test_frac_res68_DEGENERATE,test_rmse_scaled,token_count,torch_version,train_weight_sum
regression__raw_patches__fourier_coordinates_seed3,raw_patches,fourier_coordinates,500,20,114561,,,7650,1350,1000,13,8,0.18187289685983413,573.8830657083664,247.62331450317626,-16.249918577685303,0.9274677020661624,123.35660308599472,761.5139971917746,350.3379723611904,-184.90185133224077,0.8480485942822921,292.7436496725552,147.74495883453528,147.74495883453528,0.378,0.75,25.491,0.0327,1.319,64,256,0.1,3000.0,NVIDIA L40S,gpu-n71.crc.pitt.edu,4,6,2,20,3,1,3642798,3,True,regression,0.0,18141.564897391494,0.19129435523612215,500,2.5.1.post303,7650.0
regression__pulse_entities__rope_seed4,pulse_entities,rope,500,2,106689,8.0,False,7650,1350,1000,22,17,0.193601619442933,560.1994014012021,170.2025502534451,-27.25712501765723,0.9308853841766382,35.55005461619487,765.395965473955,302.14134033721353,-87.2098150450655,0.8464954408786749,222.09640494382256,41.9070403692285,31.040066665798953,0.677,0.866,93.533,0.0709,1.169,64,256,0.1,3000.0,NVIDIA L40S,gpu-n61.crc.pitt.edu,4,6,2,20,4,8,3642650,4,True,regression,0.0,2492.2216907832135,0.18673313380040069,500,2.5.1.post303,7650.0
regression__segment_summary__rope_base4_seed4,segment_summary,rope,500,2,106689,4.0,False,7650,1350,1000,26,21,0.17330152826030715,585.1027468680435,190.99622872256438,32.013699541375686,0.9246038983223344,64.61349414742767,769.9805671991672,292.70047488474546,-27.865749127269893,0.8446509969667342,314.2263847335721,92.1003838350787,90.23967230990088,0.64,0.845,105.401,0.0676,1.371,64,256,0.1,3000.0,NVIDIA L40S,gpu-n71.crc.pitt.edu,4,6,2,20,4,5,3642827,4,True,regression,0.0,9306.742109964707,0.19503424895601448,500,2.5.1.post303,7650.0
regression__raw_patches__fourier_coordinates_seed1,raw_patches,fourier_coordinates,500,20,114561,,,7650,1350,1000,29,24,0.18615224614098444,586.2921914971955,167.1548898090888,-25.630334069445077,0.924297044038801,56.954594212129905,773.8463096406061,260.54421069151505,-91.1321918645494,0.8430871996841259,309.3268925579716,76.34436674195634,38.06279392461099,0.673,0.889,108.171,0.0622,3.977,64,256,0.1,3000.0,NVIDIA L40S,gpu-n64.crc.pitt.edu,4,6,2,20,1,1,3642653,1,True,regression,0.0,7653.536700821401,0.19543073049906518,500,2.5.1.post303,7650.0
regression__raw_patches__rope_base4_seed4,raw_patches,rope,500,20,107841,4.0,False,7650,1350,1000,24,19,0.1761636387171954,590.3621517273635,214.65259047429078,35.11853426186805,0.9232423568148327,83.91181379556656,781.7445211794605,324.94703777412116,-39.044127339492114,0.8398678134903593,305.25668530728643,107.40374921429792,107.2333117164451,0.57,0.829,104.704,0.0727,1.17,64,256,0.1,3000.0,NVIDIA L40S,gpu-n64.crc.pitt.edu,4,6,2,20,4,2,3642768,4,True,regression,0.0,12769.764521168716,0.1967873839091212,500,2.5.1.post303,7650.0
regression__segment_summary__fourier_coordinates_seed2,segment_summary,fourier_coordinates,500,2,113409,,,7650,1350,1000,19,14,0.19310366786880273,578.3232081792488,194.15794403995736,-95.81629566238755,0.9263409930784119,80.7421077042818,781.9890727943467,291.65628140908194,-157.22706240950436,0.839767610140007,255.0663235234152,99.35186845222874,-36.101289732745414,0.713,0.871,32.509,0.0285,1.12,64,256,0.1,3000.0,NVIDIA L40S,gpu-n60.crc.pitt.edu,4,6,2,20,2,4,3642852,2,True,regression,0.0,12679.690692953303,0.19277440272641624,500,2.5.1.post303,7650.0
regression__segment_summary__fourier_coordinates,segment_summary,fourier_coordinates,500,2,113409,,,7650,1350,1000,17,12,0.19315447946824446,622.9937245865325,215.04518566113128,54.068644801662025,0.91452247050219,106.88906349241734,782.2500180593411,290.3153074315912,-36.209116218447825,0.8396606550402995,412.92491385524556,141.85352879163077,141.85352879163077,0.353,0.879,28.108,0.0276,1.157,64,256,0.1,3000.0,NVIDIA L40S,gpu-n55.crc.pitt.edu,4,6,2,20,,4,3641608,,True,regression,0.0,17529.646181863292,0.2076645748621775,500,2.5.1.post303,7650.0
regression__pulse_entities__rope_base4,pulse_entities,rope,500,2,106689,4.0,False,7650,1350,1000,25,20,0.208307845054634,579.4481115167481,258.91018454296164,25.355351193383992,0.9260541643749544,136.99514892311527,782.8095928864598,360.4708391760025,-113.27121629981423,0.8394311786580998,257.64148214350496,160.15396613252938,160.15396613252938,0.154,0.802,102.652,0.0684,1.021,64,256,0.1,3000.0,NVIDIA L40S,gpu-n58.crc.pitt.edu,4,6,2,20,,8,3641994,,True,regression,0.0,22040.70207603568,0.19314937050558267,500,2.5.1.post303,7650.0
regression__pulse_entities__rope_base32,pulse_entities,rope,500,2,106689,32.0,False,7650,1350,1000,29,24,0.21271959567889534,599.7639967421526,257.8138501094361,45.02974096922642,0.9207780731257114,114.8156225681305,789.7981933160205,377.8706915453087,-53.74007750176986,0.8365513969189627,320.849239879215,141.07218772701964,141.07218772701964,0.435,0.765,113.844,0.0654,1.357,64,256,0.1,3000.0,NVIDIA L40S,gpu-n58.crc.pitt.edu,4,6,2,20,,8,3641998,,True,regression,0.0,17469.005042783734,0.1999213322473842,500,2.5.1.post303,7650.0
regression__segment_summary__rope_seed3,segment_summary,rope,500,2,106689,8.0,False,7650,1350,1000,25,20,0.1776751640863352,586.7467507939086,160.54226304434908,-6.276727405800764,0.9241796117320586,33.84377807378769,790.63863846938,268.91292436355775,-69.44542840156292,0.836203351869603,266.812536940291,55.16408546965503,55.147670209407806,0.73,0.893,101.399,0.0676,1.269,64,256,0.1,3000.0,NVIDIA L40S,gpu-n60.crc.pitt.edu,4,6,2,20,3,5,3642876,3,True,regression,0.0,4333.873064761955,0.19558225026463621,500,2.5.1.post303,7650.0
regression__segment_summary__fourier_coordinates_seed1,segment_summary,fourier_coordinates,500,2,113409,,,7650,1350,1000,16,11,0.1827800201795349,634.4629165646284,265.38310009031505,8.295722621069013,0.9113462513609997,154.06218331999708,792.0542876427537,329.62979694769723,-191.84561374042863,0.8356162665208487,428.8870169586909,202.9104737575943,202.9104737575943,0.182,0.787,51.827,0.054,1.29,64,256,0.1,3000.0,NVIDIA L40S,gpu-n64.crc.pitt.edu,4,6,2,20,1,4,3642656,1,True,regression,0.0,26782.879689477948,0.2114876388548761,500,2.5.1.post303,7650.0
